,job_id,mat,tkz_path,is_bpe,v_size,freq_cutoff,sim_cutoff,same_count_pos,same_count_neg,sibling_count_pos,sibling_count_neg
78,78,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.2_25600.json,False,25600,0.2,0.7,96287,63289,9177,3757
79,79,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.005_25600.json,False,25600,0.005,0.9,98198,64122,1200,252
80,80,blosum62,hf_uniref50_mutbpe_0.9_3_12_0_25600.json,False,25600,0,0.9,98223,64136,1200,252
81,81,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.1_12800.json,False,12800,0.1,0.7,99040,65154,9151,3778
82,82,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.1_25600.json,False,25600,0.1,0.8,95396,62954,5387,1874
83,83,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.05_12800.json,False,12800,0.05,0.7,99420,64722,9075,3796
84,84,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.005_6400.json,False,6400,0.005,0.8,105737,70319,3402,1143
85,85,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.2_25600.json,False,25600,0.2,0.9,97955,64357,1132,233
86,86,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.2_800.json,False,800,0.2,0.7,106627,71008,2905,1180
87,87,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.05_25600.json,False,25600,0.05,0.8,95345,62756,5464,1868
88,88,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.05_1600.json,False,1600,0.05,0.8,107622,71159,1890,657
89,89,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.005_3200.json,False,3200,0.005,0.8,109098,72752,2615,888
90,90,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.1_12800.json,False,12800,0.1,0.9,101071,67046,982,201
91,91,blosum62,hf_uniref50_mutbpe_0.8_3_12_0_51200.json,False,51200,0,0.8,94410,61752,6133,2128
92,92,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.005_51200.json,False,51200,0.005,0.8,94468,61749,6118,2120
93,93,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.05_6400.json,False,6400,0.05,0.9,107014,71169,757,161
94,94,blosum62,hf_uniref50_mutbpe_0.9_3_12_0_1600.json,False,1600,0,0.9,112065,74335,474,76
