,job_id,mat,tkz_path,is_bpe,v_size,freq_cutoff,sim_cutoff,p_ratio,m_ratio,ulength_mean,ulength_std,util10,util30,util50,used_ulength_mean,used_ulength_std,used_p_ratio,used_m_ratio
42,42,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.05_1600.json,False,1600,0.05,0.9,0.128125,0.14125,2.771875,0.5037286704997316,0.9975,0.996875,0.996875,2.1204788723404193,0.584516896540125,0.03610988727257009,0.025152078378144992
43,43,blosum62,hf_uniref50_mutbpe_0.9_3_12_0_6400.json,False,6400,0,0.9,0.161875,0.21703125,3.4578125,0.8290899345366157,0.98828125,0.97265625,0.9575,2.442187408072723,0.701154588301678,0.0686823767083089,0.046575125633715256
44,44,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.005_3200.json,False,3200,0.005,0.7,0.103125,0.7834375,3.0675,0.6304307661608555,0.99,0.9621875,0.943125,2.223197965161643,0.6270484188004821,0.07773582130030737,0.22137247487828138
45,45,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.1_3200.json,False,3200,0.1,0.9,0.135,0.1540625,3.0615625,0.643060483713846,0.99875,0.9984375,0.9953125,2.2916367976057934,0.6201475453924089,0.051305180856580965,0.03526563758624222
46,46,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.1_25600.json,False,25600,0.1,0.9,0.2136328125,0.2905078125,3.92578125,1.4443190225040794,0.9691015625,0.8715625,0.673359375,2.817580026226186,0.9215998569480128,0.11832767756639737,0.07973848185351413
47,47,blosum62,hf_uniref50_mutbpe_0.8_3_12_0_3200.json,False,3200,0,0.8,0.1821875,0.5803125,3.0896875,0.830652919352532,0.97875,0.965,0.9565625,2.243426990428317,0.6161306052983938,0.11743753441834107,0.1152789701920816
48,48,blosum62,hf_uniref50_bpe_800.json,True,800,,,0.0,0.0,2.5225,0.6041108651744125,0.995,0.99375,0.99375,1.9472858924496101,0.5655563080195889,0.0,0.0
49,49,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.05_12800.json,False,12800,0.05,0.8,0.164765625,0.746171875,3.673359375,0.6888503818480135,0.991640625,0.906640625,0.8190625,2.570907432846511,0.7639196126572856,0.1670111209984055,0.21746754138622862
50,50,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.2_12800.json,False,12800,0.2,0.9,0.1975,0.23703125,3.7159375,1.1449092338189442,0.99765625,0.979140625,0.931484375,2.6245108903628114,0.8219000085522962,0.08954801797460865,0.061778642613848404
51,51,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.2_800.json,False,800,0.2,0.8,0.16125,0.2875,2.53875,0.5885842988443181,0.995,0.99375,0.99375,1.91935073764474,0.5652627929339591,0.05354585728119957,0.03432079523933495
52,52,blosum62,hf_uniref50_mutbpe_0.8_3_12_0_6400.json,False,6400,0,0.8,0.16703125,0.6865625,3.498125,0.9760355194400593,0.94390625,0.9075,0.87734375,2.388205281205771,0.6786066835877625,0.14075540723866634,0.15792193818645614
53,53,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.05_1600.json,False,1600,0.05,0.7,0.0975,0.67875,2.835625,0.5884915554358126,0.9975,0.996875,0.996875,2.06777231717911,0.6180743997964057,0.05558760678268972,0.15545045577592656
54,54,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.1_6400.json,False,6400,0.1,0.9,0.16359375,0.20140625,3.42859375,0.7103995367102144,0.999375,0.9909375,0.97625,2.446694341775093,0.7030318137641568,0.06880227027453827,0.04672599132368874
55,55,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.005_6400.json,False,6400,0.005,0.7,0.0953125,0.846875,3.4328125,0.9243210129886434,0.95625,0.8990625,0.8584375,2.3753024830341105,0.6702586855374998,0.09600859814063384,0.28541461701085136
56,56,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.05_25600.json,False,25600,0.05,0.7,0.074140625,0.90859375,3.887265625,0.791637821727021,0.938046875,0.736171875,0.5803125,2.7514444354352907,0.8330147173180675,0.12995578771537197,0.443988487296181
57,57,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.2_3200.json,False,3200,0.2,0.8,0.210625,0.5134375,3.0490625,0.5888664829660988,0.99875,0.9984375,0.9984375,2.271879297652712,0.6210349890071293,0.11996671801216623,0.1114156951291053
58,58,blosum62,hf_uniref50_mutbpe_0.7_3_12_0_12800.json,False,12800,0,0.7,0.07453125,0.895078125,3.833203125,1.1431246721531476,0.88015625,0.78265625,0.7084375,2.521507936308947,0.7384206209747796,0.10946936810628821,0.3468269693869108
59,59,blosum62,hf_uniref50_mutbpe_0.8_3_12_0_25600.json,False,25600,0,0.8,0.1483203125,0.802421875,3.953515625,1.0478359685331642,0.8649609375,0.7125390625,0.5821875,2.7358087714588595,0.857372378544673,0.19603529594625357,0.2704105927902264
